scenario,role,path,context,label,element,href,disabled,checked,evidence
public-booking-intake,public,/start/ella-morgan,Your idea,Tribal,INPUT,,False,False,Rendered with isolated fixtures; not an individual click pass
public-booking-intake,public,/start/ella-morgan,Your idea,Script/Lettering,INPUT,,False,False,Rendered with isolated fixtures; not an individual click pass
public-booking-intake,public,/start/ella-morgan,Your idea,Illustrative,INPUT,,False,False,Rendered with isolated fixtures; not an individual click pass
public-booking-intake,public,/start/ella-morgan,Your idea,Surrealism,INPUT,,False,False,Rendered with isolated fixtures; not an individual click pass
public-booking-intake,public,/start/ella-morgan,Your idea,Trash Polka,INPUT,,False,False,Rendered with isolated fixtures; not an individual click pass
public-booking-intake,public,/start/ella-morgan,Your idea,Fine Line,INPUT,,False,False,Rendered with isolated fixtures; not an individual click pass
public-booking-intake,public,/start/ella-morgan,Your idea,Other,INPUT,,False,False,Rendered with isolated fixtures; not an individual click pass
public-booking-intake,public,/start/ella-morgan,Your idea,Not sure yet,INPUT,,False,False,Rendered with isolated fixtures; not an individual click pass
public-booking-intake,public,/start/ella-morgan,Request a booking,Continue,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
public-booking-intake,public,/start/ella-morgan,Request a booking,Close,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
public-booking-link,public,/book/ella-morgan,Your idea,Traditional,INPUT,,False,False,Rendered with isolated fixtures; not an individual click pass
public-booking-link,public,/book/ella-morgan,Your idea,Neo-Traditional,INPUT,,False,False,Rendered with isolated fixtures; not an individual click pass
public-booking-link,public,/book/ella-morgan,Your idea,Realism,INPUT,,False,False,Rendered with isolated fixtures; not an individual click pass
public-booking-link,public,/book/ella-morgan,Your idea,Black & Grey,INPUT,,False,False,Rendered with isolated fixtures; not an individual click pass
public-booking-link,public,/book/ella-morgan,Your idea,Japanese,INPUT,,False,False,Rendered with isolated fixtures; not an individual click pass
public-booking-link,public,/book/ella-morgan,Your idea,Geometric,INPUT,,False,False,Rendered with isolated fixtures; not an individual click pass
public-booking-link,public,/book/ella-morgan,Your idea,Watercolour,INPUT,,False,False,Rendered with isolated fixtures; not an individual click pass
public-booking-link,public,/book/ella-morgan,Your idea,Minimalist,INPUT,,False,False,Rendered with isolated fixtures; not an individual click pass
public-booking-link,public,/book/ella-morgan,Your idea,Dotwork,INPUT,,False,False,Rendered with isolated fixtures; not an individual click pass
public-booking-link,public,/book/ella-morgan,Your idea,Tribal,INPUT,,False,False,Rendered with isolated fixtures; not an individual click pass
public-booking-link,public,/book/ella-morgan,Your idea,Script/Lettering,INPUT,,False,False,Rendered with isolated fixtures; not an individual click pass
public-booking-link,public,/book/ella-morgan,Your idea,Illustrative,INPUT,,False,False,Rendered with isolated fixtures; not an individual click pass
public-booking-link,public,/book/ella-morgan,Your idea,Surrealism,INPUT,,False,False,Rendered with isolated fixtures; not an individual click pass
public-booking-link,public,/book/ella-morgan,Your idea,Trash Polka,INPUT,,False,False,Rendered with isolated fixtures; not an individual click pass
public-booking-link,public,/book/ella-morgan,Your idea,Fine Line,INPUT,,False,False,Rendered with isolated fixtures; not an individual click pass
public-booking-link,public,/book/ella-morgan,Your idea,Other,INPUT,,False,False,Rendered with isolated fixtures; not an individual click pass
public-booking-link,public,/book/ella-morgan,Your idea,Not sure yet,INPUT,,False,False,Rendered with isolated fixtures; not an individual click pass
public-booking-link,public,/book/ella-morgan,Request a booking,Continue,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
public-booking-link,public,/book/ella-morgan,Request a booking,Close,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
public-public-studio,public,/studio/northside,Northside Studio,tattoi,A,/dashboard,False,,Rendered with isolated fixtures; not an individual click pass
public-public-studio,public,/studio/northside,Northside Studio,Sign in,A,/login,False,,Rendered with isolated fixtures; not an individual click pass
public-public-studio,public,/studio/northside,Choose your artist,"EM
Ella Morgan
Fine-line botanicals. Thoughtfully made, just for you.",A,/start/ella-morgan,False,,Rendered with isolated fixtures; not an individual click pass
public-public-shop,public,/shop/ella-morgan,Ella Morgan,Back,A,/ella-morgan,False,,Rendered with isolated fixtures; not an individual click pass
public-public-shop,public,/shop/ella-morgan,Ella Morgan,Cart · 0,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
public-public-shop,public,/shop/ella-morgan,Ella Morgan,Add to cart,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
public-public-events,public,/events/ella-morgan,Events & workshops,Back,A,/ella-morgan,False,,Rendered with isolated fixtures; not an individual click pass
public-public-events,public,/events/ella-morgan,Events & workshops,Your business,A,/business,False,,Rendered with isolated fixtures; not an individual click pass
public-deposit-link,public,/deposit/preview,Secure your booking,tattoi,A,/dashboard,False,,Rendered with isolated fixtures; not an individual click pass
public-deposit-link,public,/deposit/preview,Secure your booking,Sign in,A,/login,False,,Rendered with isolated fixtures; not an individual click pass
public-deposit-link,public,/deposit/preview,Secure your booking,Pay securely by card,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
public-balance-link,public,/balance/101,Your session balance,tattoi,A,/dashboard,False,,Rendered with isolated fixtures; not an individual click pass
public-balance-link,public,/balance/101,Your session balance,Sign in,A,/login,False,,Rendered with isolated fixtures; not an individual click pass
public-balance-link,public,/balance/101,Your session balance,Pay securely by card,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
public-payment-request,public,/pay/preview,Review your payment,tattoi,A,/dashboard,False,,Rendered with isolated fixtures; not an individual click pass
public-payment-request,public,/pay/preview,Review your payment,Sign in,A,/login,False,,Rendered with isolated fixtures; not an individual click pass
public-payment-request,public,/pay/preview,Review your payment,Continue to secure checkout,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
client-discover,client,/discover,,Your profile,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
client-discover,client,/discover,,Discover artists,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
client-discover,client,/discover,,Your artists and bookings,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
client-discover,client,/discover,,View artwork by Ella Morgan,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
client-discover,client,/discover,,View artist,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
client-discover,client,/discover,,Like artwork,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
client-discover,client,/discover,,Share artwork,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
client-discover,client,/discover,,Discover,A,/discover,False,,Rendered with isolated fixtures; not an individual click pass
client-discover,client,/discover,,"2
Messages",A,/conversations,False,,Rendered with isolated fixtures; not an individual click pass
client-discover,client,/discover,,Bookings,A,/bookings,False,,Rendered with isolated fixtures; not an individual click pass
client-discover,client,/discover,,Profile,A,/profile,False,,Rendered with isolated fixtures; not an individual click pass
client-bookings,client,/bookings,Bookings,tattoi,A,/bookings,False,,Rendered with isolated fixtures; not an individual click pass
client-bookings,client,/bookings,Bookings,Your profile,A,/profile,False,,Rendered with isolated fixtures; not an individual click pass
client-bookings,client,/bookings,Bookings,Upcoming,tab,,False,,Rendered with isolated fixtures; not an individual click pass
client-bookings,client,/bookings,Bookings,Past,tab,,False,,Rendered with isolated fixtures; not an individual click pass
client-bookings,client,/bookings,Bookings,Review $155.10 deposit & fee,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
client-bookings,client,/bookings,Bookings,Complete sitting 2 forms,A,/projects/12?session=101&action=forms,False,,Rendered with isolated fixtures; not an individual click pass
client-bookings,client,/bookings,Bookings,"Sitting 2 · Confirmed
Thu, 10 Sept, 10:00 am",A,/projects/12?session=101,False,,Rendered with isolated fixtures; not an individual click pass
client-bookings,client,/bookings,Bookings,Message Ella Morgan,A,/chat/12,False,,Rendered with isolated fixtures; not an individual click pass
client-bookings,client,/bookings,Bookings,,A,/waitlist,False,,Rendered with isolated fixtures; not an individual click pass
client-bookings,client,/bookings,Bookings,,A,/purchases,False,,Rendered with isolated fixtures; not an individual click pass
client-bookings,client,/bookings,Bookings,,A,/discover,False,,Rendered with isolated fixtures; not an individual click pass
client-bookings,client,/bookings,Bookings,Discover,A,/discover,False,,Rendered with isolated fixtures; not an individual click pass
client-bookings,client,/bookings,Bookings,"2
Messages",A,/conversations,False,,Rendered with isolated fixtures; not an individual click pass
client-bookings,client,/bookings,Bookings,Bookings,A,/bookings,False,,Rendered with isolated fixtures; not an individual click pass
client-bookings,client,/bookings,Bookings,Profile,A,/profile,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-overview,client,/projects/12,Tattoo project,Back,A,/bookings,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-overview,client,/projects/12,Tattoo project,Your profile,A,/profile,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-overview,client,/projects/12,Tattoo project,Overview,tab,,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-overview,client,/projects/12,Tattoo project,Messages,tab,,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-overview,client,/projects/12,Tattoo project,Files,tab,,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-overview,client,/projects/12,Tattoo project,Payments,tab,,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-overview,client,/projects/12,Ready for the session,"Payment received
$150.00",BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-overview,client,/projects/12,Ready for the session,"Procedure consent
Awaiting confirmation",BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-overview,client,/projects/12,Ready for the session,Complete your consent forms,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-overview,client,/projects/12,Payment · AUD,Review balance,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-overview,client,/projects/12,Tattoo project,Message Ella Morgan,A,/projects/12?session=101&view=Messages,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-overview,client,/projects/12,Change this sitting,Request a date change,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-overview,client,/projects/12,Change this sitting,Request cancellation,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-overview,client,/projects/12,Tattoo project,,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-overview,client,/projects/12,Tattoo project,Discover,A,/discover,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-overview,client,/projects/12,Tattoo project,"2
Messages",A,/conversations,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-overview,client,/projects/12,Tattoo project,Bookings,A,/bookings,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-overview,client,/projects/12,Tattoo project,Profile,A,/profile,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-messages,client,/projects/12?view=Messages,Tattoo project,Back,A,/bookings,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-messages,client,/projects/12?view=Messages,Tattoo project,Your profile,A,/profile,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-messages,client,/projects/12?view=Messages,Tattoo project,Overview,tab,,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-messages,client,/projects/12?view=Messages,Tattoo project,Messages,tab,,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-messages,client,/projects/12?view=Messages,Tattoo project,Files,tab,,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-messages,client,/projects/12?view=Messages,Tattoo project,Payments,tab,,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-messages,client,/projects/12?view=Messages,Tattoo project,All conversations,A,/conversations,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-messages,client,/projects/12?view=Messages,Tattoo project,Open booking,A,/projects/12,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-messages,client,/projects/12?view=Messages,Tattoo project,Attach photo,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-messages,client,/projects/12?view=Messages,Tattoo project,Send message,BUTTON,,True,,Rendered with isolated fixtures; not an individual click pass
client-booking-messages,client,/projects/12?view=Messages,Tattoo project,Discover,A,/discover,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-messages,client,/projects/12?view=Messages,Tattoo project,"2
Messages",A,/conversations,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-messages,client,/projects/12?view=Messages,Tattoo project,Bookings,A,/bookings,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-messages,client,/projects/12?view=Messages,Tattoo project,Profile,A,/profile,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-files,client,/projects/12?view=Files,Tattoo project,Back,A,/bookings,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-files,client,/projects/12?view=Files,Tattoo project,Your profile,A,/profile,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-files,client,/projects/12?view=Files,Tattoo project,Overview,tab,,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-files,client,/projects/12?view=Files,Tattoo project,Messages,tab,,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-files,client,/projects/12?view=Files,Tattoo project,Files,tab,,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-files,client,/projects/12?view=Files,Tattoo project,Payments,tab,,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-files,client,/projects/12?view=Files,Project reference images,Share photos in Messages,A,/projects/12?session=101&view=Messages,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-files,client,/projects/12?view=Files,Tattoo project,Discover,A,/discover,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-files,client,/projects/12?view=Files,Tattoo project,"2
Messages",A,/conversations,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-files,client,/projects/12?view=Files,Tattoo project,Bookings,A,/bookings,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-files,client,/projects/12?view=Files,Tattoo project,Profile,A,/profile,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-payments,client,/projects/12?view=Payments,Tattoo project,Back,A,/bookings,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-payments,client,/projects/12?view=Payments,Tattoo project,Your profile,A,/profile,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-payments,client,/projects/12?view=Payments,Tattoo project,Overview,tab,,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-payments,client,/projects/12?view=Payments,Tattoo project,Messages,tab,,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-payments,client,/projects/12?view=Payments,Tattoo project,Files,tab,,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-payments,client,/projects/12?view=Payments,Tattoo project,Payments,tab,,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-payments,client,/projects/12?view=Payments,Tattoo project,Discover,A,/discover,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-payments,client,/projects/12?view=Payments,Tattoo project,"2
Messages",A,/conversations,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-payments,client,/projects/12?view=Payments,Tattoo project,Bookings,A,/bookings,False,,Rendered with isolated fixtures; not an individual click pass
client-booking-payments,client,/projects/12?view=Payments,Tattoo project,Profile,A,/profile,False,,Rendered with isolated fixtures; not an individual click pass
client-inbox,client,/conversations,Messages,tattoi,A,/bookings,False,,Rendered with isolated fixtures; not an individual click pass
client-inbox,client,/conversations,Messages,Your profile,A,/profile,False,,Rendered with isolated fixtures; not an individual click pass
client-inbox,client,/conversations,Messages,"EM
Ella Morgan
I love the peonies. Could we leave room to extend it later?
2",A,/chat/12,False,,Rendered with isolated fixtures; not an individual click pass
client-inbox,client,/conversations,Messages,Discover,A,/discover,False,,Rendered with isolated fixtures; not an individual click pass
client-inbox,client,/conversations,Messages,"2
Messages",A,/conversations,False,,Rendered with isolated fixtures; not an individual click pass
client-inbox,client,/conversations,Messages,Bookings,A,/bookings,False,,Rendered with isolated fixtures; not an individual click pass
client-inbox,client,/conversations,Messages,Profile,A,/profile,False,,Rendered with isolated fixtures; not an individual click pass
client-conversation,client,/chat/12,Ella Morgan,All conversations,A,/conversations,False,,Rendered with isolated fixtures; not an individual click pass
client-conversation,client,/chat/12,Ella Morgan,Open booking,A,/projects/12,False,,Rendered with isolated fixtures; not an individual click pass
client-conversation,client,/chat/12,Ella Morgan,Attach photo,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
client-conversation,client,/chat/12,Ella Morgan,Send message,BUTTON,,True,,Rendered with isolated fixtures; not an individual click pass
client-client-profile,client,/profile,Your profile,tattoi,A,/bookings,False,,Rendered with isolated fixtures; not an individual click pass
client-client-profile,client,/profile,Your profile,Settings,A,/settings,False,,Rendered with isolated fixtures; not an individual click pass
client-client-profile,client,/profile,Personal details,Edit your details,A,/profile?edit=true,False,,Rendered with isolated fixtures; not an individual click pass
client-client-profile,client,/profile,Your profile,Your purchases,A,/purchases,False,,Rendered with isolated fixtures; not an individual click pass
client-client-profile,client,/profile,Your profile,Cancellation offers,A,/waitlist,False,,Rendered with isolated fixtures; not an individual click pass
client-client-profile,client,/profile,Your profile,Discover,A,/discover,False,,Rendered with isolated fixtures; not an individual click pass
client-client-profile,client,/profile,Your profile,"2
Messages",A,/conversations,False,,Rendered with isolated fixtures; not an individual click pass
client-client-profile,client,/profile,Your profile,Bookings,A,/bookings,False,,Rendered with isolated fixtures; not an individual click pass
client-client-profile,client,/profile,Your profile,Profile,A,/profile,False,,Rendered with isolated fixtures; not an individual click pass
client-client-documents,client,/profile?tab=forms,Your consent forms,Back,A,/profile,False,,Rendered with isolated fixtures; not an individual click pass
client-client-documents,client,/profile?tab=forms,Your consent forms,Settings,A,/settings,False,,Rendered with isolated fixtures; not an individual click pass
client-client-documents,client,/profile?tab=forms,Your consent forms,Your purchases,A,/purchases,False,,Rendered with isolated fixtures; not an individual click pass
client-client-documents,client,/profile?tab=forms,Your consent forms,Cancellation offers,A,/waitlist,False,,Rendered with isolated fixtures; not an individual click pass
client-client-documents,client,/profile?tab=forms,Your consent forms,Discover,A,/discover,False,,Rendered with isolated fixtures; not an individual click pass
client-client-documents,client,/profile?tab=forms,Your consent forms,"2
Messages",A,/conversations,False,,Rendered with isolated fixtures; not an individual click pass
client-client-documents,client,/profile?tab=forms,Your consent forms,Bookings,A,/bookings,False,,Rendered with isolated fixtures; not an individual click pass
client-client-documents,client,/profile?tab=forms,Your consent forms,Profile,A,/profile,False,,Rendered with isolated fixtures; not an individual click pass
client-earlier-appointments,client,/waitlist,Earlier appointments,Back,A,/bookings,False,,Rendered with isolated fixtures; not an individual click pass
client-earlier-appointments,client,/waitlist,Earlier appointments,Your profile,A,/profile,False,,Rendered with isolated fixtures; not an individual click pass
client-earlier-appointments,client,/waitlist,Earlier appointments,Discover,A,/discover,False,,Rendered with isolated fixtures; not an individual click pass
client-earlier-appointments,client,/waitlist,Earlier appointments,"2
Messages",A,/conversations,False,,Rendered with isolated fixtures; not an individual click pass
client-earlier-appointments,client,/waitlist,Earlier appointments,Bookings,A,/bookings,False,,Rendered with isolated fixtures; not an individual click pass
client-earlier-appointments,client,/waitlist,Earlier appointments,Profile,A,/profile,False,,Rendered with isolated fixtures; not an individual click pass
client-purchases,client,/purchases,Your purchases,Back,A,/profile,False,,Rendered with isolated fixtures; not an individual click pass
client-purchases,client,/purchases,Your purchases,Your profile,A,/profile,False,,Rendered with isolated fixtures; not an individual click pass
client-purchases,client,/purchases,Your purchases,Discover,A,/discover,False,,Rendered with isolated fixtures; not an individual click pass
client-purchases,client,/purchases,Your purchases,"2
Messages",A,/conversations,False,,Rendered with isolated fixtures; not an individual click pass
client-purchases,client,/purchases,Your purchases,Bookings,A,/bookings,False,,Rendered with isolated fixtures; not an individual click pass
client-purchases,client,/purchases,Your purchases,Profile,A,/profile,False,,Rendered with isolated fixtures; not an individual click pass
client-complete-profile,client,/complete-profile,A few details,tattoi,A,/bookings,False,,Rendered with isolated fixtures; not an individual click pass
client-complete-profile,client,/complete-profile,A few details,For artists,A,/signup?role=artist,False,,Rendered with isolated fixtures; not an individual click pass
client-complete-profile,client,/complete-profile,A few details,Save and continue,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
artist-today,artist,/dashboard,Today,tattoi,A,/dashboard,False,,Rendered with isolated fixtures; not an individual click pass
artist-today,artist,/dashboard,Today,Your business,A,/business,False,,Rendered with isolated fixtures; not an individual click pass
artist-today,artist,/dashboard,Today,Today,A,/dashboard,False,,Rendered with isolated fixtures; not an individual click pass
artist-today,artist,/dashboard,Today,Clients,A,/clients,False,,Rendered with isolated fixtures; not an individual click pass
