source,line,component,element,label or label expression,handler or destination,evidence classification
client/src/app-v3/pages/AccountControls.tsx,139,Consultations,Action,"{busy ? ""Opening…"" : ""Open conversation""}","{""onClick"": ""{openConversation}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/ArtistProfile.tsx,38,ArtistProfile,Tabs,"""Artist profile sections""",{},Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/ArtistProfile.tsx,62,ArtistProfile,ActionLink,Business settings & payouts,"{""href"": ""\""/business\""""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/ArtistProfile.tsx,66,ArtistProfile,ActionLink,Preview booking page,"{""href"": ""{`/book/${settings.data.publicSlug}`}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/ArtistProfile.tsx,70,ArtistProfile,ActionLink,Share your booking link,"{""href"": ""\""/settings?section=booking-link\""""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/ArtistProfile.tsx,73,ArtistProfile,ActionLink,Photo & personal details,"{""href"": ""\""/settings?section=profile\""""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/ArtistProfile.tsx,150,PublicDetails,input,(dynamic/unlabelled),"{""formSubmit"": ""{e => { e.preventDefault(); save.mutate({ ...form, showEmail: Number(form.showEmail), showPhone: Number(form.showPhone), showCity: Number(form.showCity), showWebsite: Number(form.showWebsite), }); }}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/ArtistProfile.tsx,159,PublicDetails,Action,"{save.isPending ? ""Saving…"" : ""Save public profile""}","{""formSubmit"": ""{e => { e.preventDefault(); save.mutate({ ...form, showEmail: Number(form.showEmail), showPhone: Number(form.showPhone), showCity: Number(form.showCity), showWebsite: Number(form.showWebsite), }); }}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/ArtistProfile.tsx,169,PublicDetails,ActionLink,Edit personal details,"{""href"": ""\""/settings?section=profile\""""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/ArtistProfile.tsx,241,Portfolio,Action,Add photo,"{""onClick"": ""{() => { setAdding(true); setError(\""\""); }}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/ArtistProfile.tsx,256,Portfolio,ActionLink,Instagram import,"{""href"": ""\""/settings?section=instagram\""""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/ArtistProfile.tsx,270,Portfolio,Action,Remove selected,"{""onClick"": ""{() => { remove.reset(); setConfirm(true); }}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/ArtistProfile.tsx,280,Portfolio,Action,Clear selection,"{""onClick"": ""{() => setIds([])}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/ArtistProfile.tsx,288,Portfolio,button,"{`View ${item.description || ""portfolio item""}`}","{""onClick"": ""{() => setPreview(item.id)}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/ArtistProfile.tsx,302,Portfolio,input,(dynamic/unlabelled),{},Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/ArtistProfile.tsx,367,Portfolio,Action,"{busy ? ""Adding…"" : ""Add photo""}","{""formSubmit"": ""{e => { e.preventDefault(); void add(); }}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/ArtistProfile.tsx,398,Portfolio,a,View Instagram post,"{""href"": ""{item.externalPermalink}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/ArtistProfile.tsx,424,Portfolio,Action,"{remove.isPending ? ""Removing…"" : ""Remove from portfolio""}","{""onClick"": ""{() => remove.mutate({ ids })}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/ArtistProfile.tsx,431,Portfolio,Action,Keep items,"{""onClick"": ""{() => setConfirm(false)}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/ArtistProfile.tsx,548,BookingLinkForm,button,Try again,"{""onClick"": ""{() => check.refetch()}"", ""formSubmit"": ""{e => { e.preventDefault(); save.mutate({ publicSlug: slug, funnelEnabled: true }); }}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/ArtistProfile.tsx,554,BookingLinkForm,Action,"{save.isPending ? ""Saving…"" : ""Save booking link""}","{""formSubmit"": ""{e => { e.preventDefault(); save.mutate({ publicSlug: slug, funnelEnabled: true }); }}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/ArtistProfile.tsx,571,BookingLinkForm,Action,Share link,"{""onClick"": ""{share}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/ArtistProfile.tsx,572,BookingLinkForm,Action,Copy link,"{""onClick"": ""{copy}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/ArtistProfile.tsx,575,BookingLinkForm,ActionLink,Preview,"{""href"": ""{`/book/${saved}`}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Bank.tsx,110,Bank,Action,"{busy ? ""Opening…"" : data.connected ? ""Review account details"" : ""Connect your bank""}","{""onClick"": ""{start}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Bank.tsx,117,Bank,Action,Refresh status,"{""onClick"": ""{() => status.refetch()}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Bank.tsx,211,EmbeddedSetup,Action,Try again,"{""onClick"": ""{() => { setError(\""\""); setAttempt(n => n + 1); }}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Bank.tsx,229,EmbeddedSetup,Action,Having trouble? Continue with Stripe,"{""onClick"": ""{() => fallback.mutate(undefined, { onSuccess: result => window.location.assign(result.url), }) }""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Bank.tsx,312,PayoutSettings,Action,"{editing ? ""Cancel"" : ""Change""}","{""onClick"": ""{() => { setInterval(data.interval); setWeekly( DAYS.includes(data.weeklyAnchor as (typeof DAYS)[number]) ? (data.weeklyAnchor as (typeof DAYS)[number]) : \""monday\"" ); setMonthly(data.monthlyAnchor || 1); save.reset(); setEditing(!editing); }}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Bank.tsx,397,PayoutSettings,Action,"{save.isPending ? ""Saving…"" : ""Save payout schedule""}","{""formSubmit"": ""{e => { e.preventDefault(); save.mutate({ interval, weeklyAnchor: interval === \""weekly\"" ? weekly : undefined, monthlyAnchor: interval === \""monthly\"" ? monthly : undefined, }); }}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Bank.tsx,421,PayoutSettings,ActionLink,View payment history,"{""href"": ""\""/payout-history\""""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Bank.tsx,427,PayoutSettings,Action,Disconnect payment account,"{""onClick"": ""{() => setConfirm(true)}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Bank.tsx,447,PayoutSettings,Action,"{disconnect.isPending ? ""Disconnecting…"" : ""Disconnect account""}","{""onClick"": ""{() => disconnect.mutate()}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Bank.tsx,456,PayoutSettings,Action,Keep connected,"{""onClick"": ""{() => setConfirm(false)}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Booking.tsx,170,Booking,Tabs,"""Booking sections""",{},Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Booking.tsx,221,Booking,Action,Retry project names,"{""onClick"": ""{() => { namingAttempts.current.clear(); setNamingFailed(false); setNamingRetry(n => n + 1); }}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Booking.tsx,238,Booking,Row,{`Sitting ${s.sessionIndex || i + 1} · ${statusLabel(s.status)}`},"{""onClick"": ""{() => navigate(tab, s.id)}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Booking.tsx,261,Booking,Action,"{p.paymentState ? ( ""Check payment confirmation"" ) : ( <>Review {money(p.depositCents)} deposit</> )}","{""onClick"": ""{() => setPlan(p.id)}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Booking.tsx,295,Booking,Row,"{ session.paidCents > 0 ? ""Payment received"" : ""Payment outstanding"" }","{""onClick"": ""{() => navigate(\""Payments\"")}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Booking.tsx,310,Booking,Row,{f.title},"{""onClick"": ""{ client && f.status !== \""signed\"" ? () => setSign(true) : undefined }""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Booking.tsx,336,Booking,Action,Complete your consent forms,"{""onClick"": ""{() => setSign(true)}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Booking.tsx,394,Booking,ActionLink,"Review {money(session.pendingRequest.amountCents)} {"" ""} request","{""href"": ""{`/pay/${session.pendingRequest.token}`}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Booking.tsx,406,Booking,Action,Review balance,"{""onClick"": ""{() => setBalance(true)}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Booking.tsx,412,Booking,ActionLink,"Message {"" ""} {client ? data.artist?.name || ""your artist"" : data.client?.name || ""client""}","{""href"": ""{`/projects/${id}?${session ? `session=${session.id}&` : \""\""}view=Messages`}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Booking.tsx,437,Booking,Action,{label},"{""onClick"": ""{() => { setRequestDraft( `${label} for ${session.projectName || \""my tattoo project\""}, sitting ${session.sessionIndex || 1} on ${bookingDate(session.startsAt, session.timeZone)}. ` ); navigate(\""Messages\""); }}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Booking.tsx,466,Booking,a,(dynamic/unlabelled),"{""href"": ""{url}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Booking.tsx,494,Booking,a,(dynamic/unlabelled),"{""href"": ""{url}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Booking.tsx,512,Booking,ActionLink,Share photos in Messages,"{""href"": ""{`/projects/${id}?${session ? `session=${session.id}&` : \""\""}view=Messages`}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Booking.tsx,611,EarlierAppointment,Action,"{join.isSuccess ? ""You’re on the waitlist"" : ""Join waitlist""}","{""onClick"": ""{() => join.mutate({ conversationId })}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/BookingComposer.tsx,292,BookingComposer,Row,"{c.name || ""Client""}","{""onClick"": ""{() => { setClient(c.id); setStep(\""service\""); }}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/BookingComposer.tsx,305,BookingComposer,ActionLink,Share your booking link,"{""href"": ""\""/artist-profile\""""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/BookingComposer.tsx,319,BookingComposer,Row,{svc.name},"{""onClick"": ""{() => chooseService(svc.name)}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/BookingComposer.tsx,328,BookingComposer,ActionLink,Set up your services,"{""href"": ""\""/settings?section=work-hours\""""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/BookingComposer.tsx,333,BookingComposer,Action,Back to clients,"{""onClick"": ""{() => setStep(\""client\"")}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/BookingComposer.tsx,354,BookingComposer,button,{label},"{""onClick"": ""{() => setFrequency(value)}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/BookingComposer.tsx,379,BookingComposer,Action,"{findingDates ? ""Checking availability…"" : ""Find available dates""}","{""onClick"": ""{findDates}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/BookingComposer.tsx,382,BookingComposer,Action,Choose dates myself,"{""onClick"": ""{() => setStep(\""details\"")}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/BookingComposer.tsx,389,BookingComposer,Action,Back to services,"{""onClick"": ""{() => setStep(\""service\"")}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/BookingComposer.tsx,409,BookingComposer,Row,{service},"{""onClick"": ""{() => setStep(\""service\"")}"", ""formSubmit"": ""{e => { e.preventDefault(); const problem = validate(); setError(problem); if (!problem) setStep(\""review\""); }}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/BookingComposer.tsx,414,BookingComposer,Action,Find dates automatically,"{""onClick"": ""{() => setStep(\""frequency\"")}"", ""formSubmit"": ""{e => { e.preventDefault(); const problem = validate(); setError(problem); if (!problem) setStep(\""review\""); }}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/BookingComposer.tsx,423,BookingComposer,Action,{`Remove session ${i + 1}`},"{""onClick"": ""{() => setSessions(rows => rows.filter((_, n) => n !== i)) }"", ""formSubmit"": ""{e => { e.preventDefault(); const problem = validate(); setError(problem); if (!problem) setStep(\""review\""); }}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/BookingComposer.tsx,509,BookingComposer,Action,Add another session,"{""onClick"": ""{() => { const last = sessions[sessions.length - 1]; const next = new Date(`${last.date}T${last.time}`); next.setDate(next.getDate() + 7); setSessions([ ...sessions, { ...last, date: format(next, \""yyyy-MM-dd\"") }, ]); }}"", ""formSubmit"": ""{e => { e.preventDefault(); const problem = validate(); setError(problem); if (!problem) setStep(\""review\""); }}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/BookingComposer.tsx,526,BookingComposer,Action,Review proposal,"{""formSubmit"": ""{e => { e.preventDefault(); const problem = validate(); setError(problem); if (!problem) setStep(\""review\""); }}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/BookingComposer.tsx,568,BookingComposer,Action,"{busy ? ""Sending proposal…"" : ""Send proposal""}","{""onClick"": ""{send}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/BookingComposer.tsx,571,BookingComposer,Action,Edit details,"{""onClick"": ""{() => setStep(\""details\"")}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Business.tsx,32,Business,Row,"""Money""","{""href"": ""\""/money\""""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Business.tsx,38,Business,Row,"""Working hours & services""","{""href"": ""\""/work-hours\""""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Business.tsx,44,Business,Row,"""Your profile & booking link""","{""href"": ""\""/artist-profile\""""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Business.tsx,50,Business,Row,"""Cancellation waitlist""","{""href"": ""\""/waitlist\""""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Business.tsx,58,Business,Row,"""Your products""","{""href"": ""\""/products\""""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Business.tsx,64,Business,Row,"""Store orders""","{""href"": ""\""/store-orders\""""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Business.tsx,70,Business,Row,"""Workshops & events""","{""href"": ""\""/artist-events\""""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Business.tsx,78,Business,Row,"""Supplies""","{""href"": ""\""/supplies\""""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Business.tsx,84,Business,Row,"""Studio""","{""href"": ""\""/studio\""""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Business.tsx,90,Business,Row,"""Settings""","{""href"": ""\""/settings\""""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Business.tsx,123,Money,Tabs,"""Earnings period""",{},Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Business.tsx,166,Money,ActionLink,Manage payouts,"{""href"": ""\""/bank-payouts\""""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Business.tsx,238,Money,ActionLink,View payout history,"{""href"": ""\""/payout-history\""""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Calendar.tsx,86,Calendar,Action,New booking,"{""onClick"": ""{() => setBookingDateValue(c.activeDate)}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Calendar.tsx,94,Calendar,Action,"""Previous week""","{""onClick"": ""{() => goDay(addDays(monday, -7))}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Calendar.tsx,101,Calendar,Action,"""Next week""","{""onClick"": ""{() => goDay(addDays(monday, 7))}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Calendar.tsx,108,Calendar,Action,Today,"{""onClick"": ""{() => goDay(new Date())}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Calendar.tsx,134,Calendar,button,"{format(date, ""EEEE, d MMMM yyyy"")}","{""onClick"": ""{() => goDay(date)}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Calendar.tsx,164,Calendar,button,"{format(c.activeDate, ""EEE d MMM"")} · {dayEvents.length}{"" ""} sessions {agendaExpanded ? ""Collapse agenda"" : ""Expand agenda""}","{""onClick"": ""{() => setAgendaExpanded(!agendaExpanded)}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Calendar.tsx,180,Calendar,Row,{a.client?.name || a.clientName || a.title},"{""onClick"": ""{() => select(a)}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Calendar.tsx,214,Calendar,Row,{a.client?.name || a.clientName || a.title},"{""onClick"": ""{() => select(a)}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Calendar.tsx,293,BookingInspector,button,"""Close booking details""","{""onClick"": ""{onClose}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Calendar.tsx,353,BookingInspector,ActionLink,"Message {a.client?.name || a.clientName || ""client""}","{""href"": ""{`/chat/${a.conversationId}`}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Calendar.tsx,357,BookingInspector,ActionLink,Open booking,"{""href"": ""{`/projects/${a.conversationId}?session=${a.id}`}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Checkout.tsx,52,Confirming,Action,Check confirmation,"{""onClick"": ""{() => onCheck()}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Checkout.tsx,98,SessionPlanCheckoutSheet,Action,"{accept.isPending ? ""Preparing checkout…"" : ""Continue to secure checkout""}","{""onClick"": ""{() => accept.mutate({ sessionPlanId })}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Checkout.tsx,137,SessionPlanCheckoutSheet,Action,Done,"{""onClick"": ""{onClose}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Checkout.tsx,295,BalanceCheckoutSheet,Action,Done,"{""onClick"": ""{onClose}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/Checkout.tsx,330,BalanceCheckoutSheet,Action,"{create.isPending ? ""Preparing checkout…"" : ""Continue to secure checkout""}","{""onClick"": ""{() => create.mutate({ appointmentId })}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/ClientBookings.tsx,84,ClientBookings,Tabs,"""Your bookings""",{},Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/ClientBookings.tsx,107,ClientBookings,Action,Retry project names,"{""onClick"": ""{() => { attemptedNames.current.clear(); setNameError(false); setNameRetry(n => n + 1); }}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/ClientBookings.tsx,139,ClientBookings,Action,"{p.paymentState ? ""Check payment status"" : `Review ${money(p.depositTotalCents + (p.platformFeeCents || 0))} deposit & fee`}","{""onClick"": ""{() => setPlan({ id: p.id, conversationId: p.conversationId || 0 }) }""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/ClientBookings.tsx,218,ClientBookings,ActionLink,Review {money(requested.paymentRequest.amountCents)} request,"{""href"": ""{`/pay/${requested.paymentRequest.token}`}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/ClientBookings.tsx,225,ClientBookings,ActionLink,Complete sitting {forms.sessionIndex || 1} forms,"{""href"": ""{destination(forms) + \""&action=forms\""}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/ClientBookings.tsx,232,ClientBookings,ActionLink,"{tab === ""Past"" ? ""View session & aftercare"" : next.status === ""completed"" ? ""Review outstanding balance"" : ""View next sitting""}","{""href"": ""{destination(next)}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/ClientBookings.tsx,246,ClientBookings,Row,{`Sitting ${a.sessionIndex || index + 1} · ${statusLabel(a.status)}`},"{""href"": ""{a.conversationId ? destination(a) : undefined}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/ClientBookings.tsx,261,ClientBookings,ActionLink,Review {money(a.paymentRequest.amountCents)} request,"{""href"": ""{`/pay/${a.paymentRequest.token}`}""}",Static inventory; rendering and end-to-end outcome not guaranteed
