scenario,role,route,control type,label,destination,disabled,evidence
public-booking-intake,public,/start/ella-morgan,checkbox,Trash Polka,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-intake,public,/start/ella-morgan,checkbox,Fine Line,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-intake,public,/start/ella-morgan,checkbox,Other,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-intake,public,/start/ella-morgan,checkbox,Not sure yet,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-intake,public,/start/ella-morgan,submit,Continue,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-intake,public,/start/ella-morgan,button,Close,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-public-shop,public,/shop/ella-morgan,A,Back,/ella-morgan,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-public-shop,public,/shop/ella-morgan,button,Cart · 0,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-public-shop,public,/shop/ella-morgan,tab,All products,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-public-shop,public,/shop/ella-morgan,tab,In stock,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-public-shop,public,/shop/ella-morgan,search,Search this store,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-public-shop,public,/shop/ella-morgan,button,View Botanical art print,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-public-events,public,/events/ella-morgan,A,Back,/ella-morgan,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-public-events,public,/events/ella-morgan,A,Your business,/business,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-link,public,/book/ella-morgan,TEXTAREA,What would you like tattooed?,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-link,public,/book/ella-morgan,checkbox,Traditional,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-link,public,/book/ella-morgan,checkbox,Neo-Traditional,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-link,public,/book/ella-morgan,checkbox,Realism,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-link,public,/book/ella-morgan,checkbox,Black & Grey,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-link,public,/book/ella-morgan,checkbox,Japanese,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-link,public,/book/ella-morgan,checkbox,Geometric,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-link,public,/book/ella-morgan,checkbox,Watercolour,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-link,public,/book/ella-morgan,checkbox,Minimalist,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-link,public,/book/ella-morgan,checkbox,Dotwork,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-link,public,/book/ella-morgan,checkbox,Tribal,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-link,public,/book/ella-morgan,checkbox,Script/Lettering,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-link,public,/book/ella-morgan,checkbox,Illustrative,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-link,public,/book/ella-morgan,checkbox,Surrealism,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-link,public,/book/ella-morgan,checkbox,Trash Polka,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-link,public,/book/ella-morgan,checkbox,Fine Line,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-link,public,/book/ella-morgan,checkbox,Other,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-link,public,/book/ella-morgan,checkbox,Not sure yet,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-link,public,/book/ella-morgan,submit,Continue,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-link,public,/book/ella-morgan,button,Close,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-deposit-link,public,/deposit/preview,A,tattoi,/dashboard,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-deposit-link,public,/deposit/preview,A,Sign in,/login,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-deposit-link,public,/deposit/preview,button,Pay securely by card,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-balance-link,public,/balance/101,A,tattoi,/dashboard,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-balance-link,public,/balance/101,A,Sign in,/login,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-balance-link,public,/balance/101,button,Pay securely by card,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-payment-request,public,/pay/preview,A,tattoi,/dashboard,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-payment-request,public,/pay/preview,A,Sign in,/login,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-payment-request,public,/pay/preview,button,Continue to secure checkout,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-discover,client,/discover,button,Your profile,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-discover,client,/discover,BUTTON,Discover artists,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-discover,client,/discover,BUTTON,Your artists and bookings,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-discover,client,/discover,button,View artwork by Ella Morgan,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-discover,client,/discover,BUTTON,View artist,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-discover,client,/discover,BUTTON,Like artwork,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-discover,client,/discover,BUTTON,Share artwork,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-discover,client,/discover,A,Discover,/discover,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-discover,client,/discover,A,"2
Messages",/conversations,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-discover,client,/discover,A,Bookings,/bookings,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-discover,client,/discover,A,Profile,/profile,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-bookings,client,/bookings,A,tattoi,/bookings,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-bookings,client,/bookings,A,Your profile,/profile,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-bookings,client,/bookings,tab,Upcoming,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-bookings,client,/bookings,tab,Past,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-bookings,client,/bookings,button,Review $155.10 deposit & fee,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-bookings,client,/bookings,A,Complete sitting 2 forms,/projects/12?session=101&action=forms,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-bookings,client,/bookings,A,"Sitting 2 · Confirmed
Thu, 10 Sept, 10:00 am",/projects/12?session=101,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-bookings,client,/bookings,A,Message Ella Morgan,/chat/12,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-bookings,client,/bookings,SUMMARY,More options,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-bookings,client,/bookings,A,,/waitlist,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-bookings,client,/bookings,A,,/purchases,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-bookings,client,/bookings,A,,/discover,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-bookings,client,/bookings,A,Discover,/discover,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-bookings,client,/bookings,A,"2
Messages",/conversations,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-bookings,client,/bookings,A,Bookings,/bookings,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-bookings,client,/bookings,A,Profile,/profile,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-overview,client,/projects/12,A,Back,/bookings,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-overview,client,/projects/12,A,Your profile,/profile,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-overview,client,/projects/12,tab,Overview,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-overview,client,/projects/12,tab,Messages,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-overview,client,/projects/12,tab,Files,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-overview,client,/projects/12,tab,Payments,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-overview,client,/projects/12,button,"Payment received
$150.00",,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-overview,client,/projects/12,button,"Procedure consent
Awaiting confirmation",,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-overview,client,/projects/12,button,Complete your consent forms,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-overview,client,/projects/12,button,Review balance,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-overview,client,/projects/12,A,Message Ella Morgan,/projects/12?session=101&view=Messages,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-overview,client,/projects/12,button,Request a date change,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-overview,client,/projects/12,button,Request cancellation,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-overview,client,/projects/12,SUMMARY,Want an earlier appointment?,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-overview,client,/projects/12,button,,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-overview,client,/projects/12,A,Discover,/discover,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-overview,client,/projects/12,A,"2
Messages",/conversations,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-overview,client,/projects/12,A,Bookings,/bookings,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-overview,client,/projects/12,A,Profile,/profile,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-messages,client,/projects/12?view=Messages,A,Back,/bookings,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-messages,client,/projects/12?view=Messages,A,Your profile,/profile,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-messages,client,/projects/12?view=Messages,tab,Overview,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-messages,client,/projects/12?view=Messages,tab,Messages,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-messages,client,/projects/12?view=Messages,tab,Files,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-messages,client,/projects/12?view=Messages,tab,Payments,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-messages,client,/projects/12?view=Messages,A,All conversations,/conversations,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-messages,client,/projects/12?view=Messages,A,Open booking,/projects/12,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-messages,client,/projects/12?view=Messages,button,Attach photo,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-messages,client,/projects/12?view=Messages,TEXTAREA,Message,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-messages,client,/projects/12?view=Messages,submit,Send message,,True,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-messages,client,/projects/12?view=Messages,A,Discover,/discover,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-messages,client,/projects/12?view=Messages,A,"2
Messages",/conversations,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-messages,client,/projects/12?view=Messages,A,Bookings,/bookings,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-messages,client,/projects/12?view=Messages,A,Profile,/profile,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-files,client,/projects/12?view=Files,A,Back,/bookings,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-files,client,/projects/12?view=Files,A,Your profile,/profile,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-files,client,/projects/12?view=Files,tab,Overview,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-files,client,/projects/12?view=Files,tab,Messages,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-files,client,/projects/12?view=Files,tab,Files,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-files,client,/projects/12?view=Files,tab,Payments,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-files,client,/projects/12?view=Files,SUMMARY,Older conversation references · unassigned,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-files,client,/projects/12?view=Files,A,Share photos in Messages,/projects/12?session=101&view=Messages,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-files,client,/projects/12?view=Files,A,Discover,/discover,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-files,client,/projects/12?view=Files,A,"2
Messages",/conversations,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-files,client,/projects/12?view=Files,A,Bookings,/bookings,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-files,client,/projects/12?view=Files,A,Profile,/profile,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-payments,client,/projects/12?view=Payments,A,Back,/bookings,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-payments,client,/projects/12?view=Payments,A,Your profile,/profile,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-payments,client,/projects/12?view=Payments,tab,Overview,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-payments,client,/projects/12?view=Payments,tab,Messages,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-payments,client,/projects/12?view=Payments,tab,Files,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-payments,client,/projects/12?view=Payments,tab,Payments,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-payments,client,/projects/12?view=Payments,A,Discover,/discover,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-payments,client,/projects/12?view=Payments,A,"2
Messages",/conversations,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-payments,client,/projects/12?view=Payments,A,Bookings,/bookings,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-booking-payments,client,/projects/12?view=Payments,A,Profile,/profile,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-inbox,client,/conversations,A,tattoi,/bookings,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-inbox,client,/conversations,A,Your profile,/profile,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-inbox,client,/conversations,search,Search conversations,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-inbox,client,/conversations,A,"EM
Ella Morgan
I love the peonies. Could we leave room to extend it later?
2",/chat/12,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-inbox,client,/conversations,A,Discover,/discover,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-inbox,client,/conversations,A,"2
Messages",/conversations,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-inbox,client,/conversations,A,Bookings,/bookings,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-inbox,client,/conversations,A,Profile,/profile,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-conversation,client,/chat/12,A,All conversations,/conversations,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-conversation,client,/chat/12,A,Open booking,/projects/12,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-conversation,client,/chat/12,button,Attach photo,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-conversation,client,/chat/12,TEXTAREA,Message,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-conversation,client,/chat/12,submit,Send message,,True,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-client-profile,client,/profile,A,tattoi,/bookings,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-client-profile,client,/profile,A,Settings,/settings,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-client-profile,client,/profile,A,Edit your details,/profile?edit=true,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-client-profile,client,/profile,A,Your purchases,/purchases,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-client-profile,client,/profile,A,Cancellation offers,/waitlist,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-client-profile,client,/profile,A,Discover,/discover,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-client-profile,client,/profile,A,"2
Messages",/conversations,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-client-profile,client,/profile,A,Bookings,/bookings,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-client-profile,client,/profile,A,Profile,/profile,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-client-documents,client,/profile?tab=forms,A,Back,/profile,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-client-documents,client,/profile?tab=forms,A,Settings,/settings,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-client-documents,client,/profile?tab=forms,A,Your purchases,/purchases,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-client-documents,client,/profile?tab=forms,A,Cancellation offers,/waitlist,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-client-documents,client,/profile?tab=forms,A,Discover,/discover,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-client-documents,client,/profile?tab=forms,A,"2
Messages",/conversations,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-client-documents,client,/profile?tab=forms,A,Bookings,/bookings,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
client-client-documents,client,/profile?tab=forms,A,Profile,/profile,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
